genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
"['alt z', 'electropop', 'gauze pop', 'indie poptimism']",https://api.spotify.com/v1/artists/100sLnojEpcadRx4edEBA6,100sLnojEpcadRx4edEBA6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf07625ed8cff82132521c156', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f07625ed8cff82132521c156', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f07625ed8cff82132521c156', 'width': 160}]",Zella Day,53,artist,spotify:artist:100sLnojEpcadRx4edEBA6,https://open.spotify.com/artist/100sLnojEpcadRx4edEBA6,,440752
[],https://api.spotify.com/v1/artists/4YZ5ECfbM2xSTSQTJGBbO5,4YZ5ECfbM2xSTSQTJGBbO5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb53ebb30a36ae782046b6b037', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517453ebb30a36ae782046b6b037', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17853ebb30a36ae782046b6b037', 'width': 160}]",Gerard Way,48,artist,spotify:artist:4YZ5ECfbM2xSTSQTJGBbO5,https://open.spotify.com/artist/4YZ5ECfbM2xSTSQTJGBbO5,,458920
"['alternative metal', 'groove metal', 'nu metal']",https://api.spotify.com/v1/artists/5t28BP42x2axFnqOOMg3CM,5t28BP42x2axFnqOOMg3CM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb51a772616af5e2a95dc1d4c1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517451a772616af5e2a95dc1d4c1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17851a772616af5e2a95dc1d4c1', 'width': 160}]",Five Finger Death Punch,71,artist,spotify:artist:5t28BP42x2axFnqOOMg3CM,https://open.spotify.com/artist/5t28BP42x2axFnqOOMg3CM,,6292591
"['modern rock', 'pop']",https://api.spotify.com/v1/artists/20JZFwl6HVl6yg8a4H3ZqK,20JZFwl6HVl6yg8a4H3ZqK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb256ae9a4b82bfff97776ae2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b256ae9a4b82bfff97776ae2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b256ae9a4b82bfff97776ae2', 'width': 160}]",Panic! At The Disco,75,artist,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,https://open.spotify.com/artist/20JZFwl6HVl6yg8a4H3ZqK,,12090153
"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international']",https://api.spotify.com/v1/artists/0CbeG1224FS58EUx4tPevZ,0CbeG1224FS58EUx4tPevZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb82ac9eee4c8a5f57412b4821', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517482ac9eee4c8a5f57412b4821', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17882ac9eee4c8a5f57412b4821', 'width': 160}]",Timmy Trumpet,69,artist,spotify:artist:0CbeG1224FS58EUx4tPevZ,https://open.spotify.com/artist/0CbeG1224FS58EUx4tPevZ,,1090084
"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",https://api.spotify.com/v1/artists/2xiIXseIJcq3nG7C8fHeBj,2xiIXseIJcq3nG7C8fHeBj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3626be769b238e2a35010613', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743626be769b238e2a35010613', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783626be769b238e2a35010613', 'width': 160}]",Three Days Grace,72,artist,spotify:artist:2xiIXseIJcq3nG7C8fHeBj,https://open.spotify.com/artist/2xiIXseIJcq3nG7C8fHeBj,,5929257
"['balkan folk metal', 'croatian metal', 'croatian rock', 'medieval rock']",https://api.spotify.com/v1/artists/5xKw7nNLyZ7UVvhaLC5kYd,5xKw7nNLyZ7UVvhaLC5kYd,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd3c9cb56d415b5c1f508b7bd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d3c9cb56d415b5c1f508b7bd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d3c9cb56d415b5c1f508b7bd', 'width': 160}]",Manntra,33,artist,spotify:artist:5xKw7nNLyZ7UVvhaLC5kYd,https://open.spotify.com/artist/5xKw7nNLyZ7UVvhaLC5kYd,,17874
"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",https://api.spotify.com/v1/artists/3oDbviiivRWhXwIE8hxkVV,3oDbviiivRWhXwIE8hxkVV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb039b593cfa703e929c02ce3e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174039b593cfa703e929c02ce3e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178039b593cfa703e929c02ce3e', 'width': 160}]",The Beach Boys,72,artist,spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV,,4352678
"['contemporary country', 'country', 'country road']",https://api.spotify.com/v1/artists/79FMDwzZQxHgSkIYBl3ODU,79FMDwzZQxHgSkIYBl3ODU,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb075290d0f64dbdd4efae7f41', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174075290d0f64dbdd4efae7f41', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178075290d0f64dbdd4efae7f41', 'width': 160}]",Trace Adkins,57,artist,spotify:artist:79FMDwzZQxHgSkIYBl3ODU,https://open.spotify.com/artist/79FMDwzZQxHgSkIYBl3ODU,,2600147
"['folk-pop', 'neo-singer-songwriter']",https://api.spotify.com/v1/artists/2ysnwxxNtSgbb9t1m2Ur4j,2ysnwxxNtSgbb9t1m2Ur4j,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebbe936a26ceb9cbbdec7df15b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174be936a26ceb9cbbdec7df15b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178be936a26ceb9cbbdec7df15b', 'width': 160}]",George Ezra,71,artist,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,https://open.spotify.com/artist/2ysnwxxNtSgbb9t1m2Ur4j,,4152023
