danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.573,0.967,4,-3.773,0,0.0521,0.0724,0.000524,0.151,0.168,102.01,audio_features,1jPZgfC9tWFNf7iBGdrTPV,spotify:track:1jPZgfC9tWFNf7iBGdrTPV,https://api.spotify.com/v1/tracks/1jPZgfC9tWFNf7iBGdrTPV,https://api.spotify.com/v1/audio-analysis/1jPZgfC9tWFNf7iBGdrTPV,189027,4
0.248,0.937,5,-5.121,0,0.0687,0.00742,0.362,0.0799,0.142,149.796,audio_features,1tBZnhDT8xbgJTs43FiqrD,spotify:track:1tBZnhDT8xbgJTs43FiqrD,https://api.spotify.com/v1/tracks/1tBZnhDT8xbgJTs43FiqrD,https://api.spotify.com/v1/audio-analysis/1tBZnhDT8xbgJTs43FiqrD,197734,4
0.433,0.986,9,-3.683,0,0.112,0.00131,0.0,0.245,0.104,164.1,audio_features,224wA4Sh6Q1i7nH2w1nOnr,spotify:track:224wA4Sh6Q1i7nH2w1nOnr,https://api.spotify.com/v1/tracks/224wA4Sh6Q1i7nH2w1nOnr,https://api.spotify.com/v1/audio-analysis/224wA4Sh6Q1i7nH2w1nOnr,236755,4
0.518,0.987,4,-4.324,0,0.138,6.85e-05,0.0,0.121,0.151,95.016,audio_features,2pxCVKnYzmVIQJONukyBrU,spotify:track:2pxCVKnYzmVIQJONukyBrU,https://api.spotify.com/v1/tracks/2pxCVKnYzmVIQJONukyBrU,https://api.spotify.com/v1/audio-analysis/2pxCVKnYzmVIQJONukyBrU,198067,4
0.305,0.991,1,-2.927,0,0.488,0.000619,0.0,0.11,0.187,76.374,audio_features,3OrTQrydMdfQeQJtPXBNSx,spotify:track:3OrTQrydMdfQeQJtPXBNSx,https://api.spotify.com/v1/tracks/3OrTQrydMdfQeQJtPXBNSx,https://api.spotify.com/v1/audio-analysis/3OrTQrydMdfQeQJtPXBNSx,241227,4
0.543,0.941,8,-6.252,1,0.0698,8.5e-06,0.808,0.0934,0.0698,110.021,audio_features,5PPAjBlA0DLi5O5Acx2Gst,spotify:track:5PPAjBlA0DLi5O5Acx2Gst,https://api.spotify.com/v1/tracks/5PPAjBlA0DLi5O5Acx2Gst,https://api.spotify.com/v1/audio-analysis/5PPAjBlA0DLi5O5Acx2Gst,249533,4
0.436,0.893,9,-4.18,0,0.0556,0.000362,0.0,0.103,0.0794,124.113,audio_features,5rLi8B8qgk6qThwRnKHW2P,spotify:track:5rLi8B8qgk6qThwRnKHW2P,https://api.spotify.com/v1/tracks/5rLi8B8qgk6qThwRnKHW2P,https://api.spotify.com/v1/audio-analysis/5rLi8B8qgk6qThwRnKHW2P,226680,4
0.275,0.934,2,-4.156,1,0.0603,0.00406,0.00259,0.191,0.107,169.928,audio_features,6SAxVPvPjWjwM2eyOhpRcb,spotify:track:6SAxVPvPjWjwM2eyOhpRcb,https://api.spotify.com/v1/tracks/6SAxVPvPjWjwM2eyOhpRcb,https://api.spotify.com/v1/audio-analysis/6SAxVPvPjWjwM2eyOhpRcb,178695,3
0.515,0.976,11,-3.117,1,0.167,4.62e-06,0.000315,0.117,0.134,111.985,audio_features,6X13xZ3XOF2ThTvvLAODHc,spotify:track:6X13xZ3XOF2ThTvvLAODHc,https://api.spotify.com/v1/tracks/6X13xZ3XOF2ThTvvLAODHc,https://api.spotify.com/v1/audio-analysis/6X13xZ3XOF2ThTvvLAODHc,209493,4
0.493,0.896,7,-4.569,0,0.0365,0.000319,0.0,0.0869,0.0791,117.964,audio_features,6hHpXo2XMMKR5lIfa19aLM,spotify:track:6hHpXo2XMMKR5lIfa19aLM,https://api.spotify.com/v1/tracks/6hHpXo2XMMKR5lIfa19aLM,https://api.spotify.com/v1/audio-analysis/6hHpXo2XMMKR5lIfa19aLM,262493,4
