track.trackName,track.artistName,track.trackUri,track.id
Sweet Ophelia,Zella Day,spotify:track:1jPZgfC9tWFNf7iBGdrTPV,1jPZgfC9tWFNf7iBGdrTPV
Hazy Shade of Winter (feat. Ray Toro),Gerard Way,spotify:track:1tBZnhDT8xbgJTs43FiqrD,1tBZnhDT8xbgJTs43FiqrD
Stuck in My Ways,Five Finger Death Punch,spotify:track:224wA4Sh6Q1i7nH2w1nOnr,224wA4Sh6Q1i7nH2w1nOnr
Cradle to the Grave,Five Finger Death Punch,spotify:track:2pxCVKnYzmVIQJONukyBrU,2pxCVKnYzmVIQJONukyBrU
Coming Down,Five Finger Death Punch,spotify:track:3OrTQrydMdfQeQJtPXBNSx,3OrTQrydMdfQeQJtPXBNSx
Canto 34,Five Finger Death Punch,spotify:track:5PPAjBlA0DLi5O5Acx2Gst,5PPAjBlA0DLi5O5Acx2Gst
The Ballad of Mona Lisa,Panic! At The Disco,spotify:track:5rLi8B8qgk6qThwRnKHW2P,5rLi8B8qgk6qThwRnKHW2P
Oh Fortuna - Carmina Burana - VIP Mix,Timmy Trumpet,spotify:track:6SAxVPvPjWjwM2eyOhpRcb,6SAxVPvPjWjwM2eyOhpRcb
Hard To See,Five Finger Death Punch,spotify:track:6X13xZ3XOF2ThTvvLAODHc,6X13xZ3XOF2ThTvvLAODHc
Get Out Alive,Three Days Grace,spotify:track:6hHpXo2XMMKR5lIfa19aLM,6hHpXo2XMMKR5lIfa19aLM
Ori Ori,Manntra,spotify:track:7xl2RRRKy0Q7oldxpPpfVK,7xl2RRRKy0Q7oldxpPpfVK
Surfin' U.S.A. - Remastered 2001,The Beach Boys,spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b,0wz1LjDb9ZNEYwOmDJ3Q4b
Ladies Love Country Boys,Trace Adkins,spotify:track:13Oda4GsHXzRAfquxWkrzA,13Oda4GsHXzRAfquxWkrzA
Get Away,George Ezra,spotify:track:197haCqQ3ehyUC6jmTC9cj,197haCqQ3ehyUC6jmTC9cj
The Ballad Of John And Yoko - Remastered 2015,The Beatles,spotify:track:1F7s27lLKshLPt9TPCgMDL,1F7s27lLKshLPt9TPCgMDL
Given Up,Linkin Park,spotify:track:1fLlRApgzxWweF1JTf8yM5,1fLlRApgzxWweF1JTf8yM5
Cry for You,September,spotify:track:1mvZErZBp7WZT3HfGBykao,1mvZErZBp7WZT3HfGBykao
Paralyzer,Finger Eleven,spotify:track:28IEbk5a7twNTbUEvWslUb,28IEbk5a7twNTbUEvWslUb
Girls / Girls / Boys,Panic! At The Disco,spotify:track:2wEjPgOCEczmjlvq60LyQi,2wEjPgOCEczmjlvq60LyQi
Impressive Depressive,Bad Luck.,spotify:track:38hzwga4T0PB9KJMTkWMSJ,38hzwga4T0PB9KJMTkWMSJ
Our Time Now,Plain White T's,spotify:track:3CE3PYF64qJBjq54Uf9ZiW,3CE3PYF64qJBjq54Uf9ZiW
Girls,MARINA,spotify:track:3MNeq4nPxnPK1lsGGXZeRU,3MNeq4nPxnPK1lsGGXZeRU
Don't Stop the Party (feat. TJR),Pitbull,spotify:track:3Tu7uWBecS6GsLsL8UONKn,3Tu7uWBecS6GsLsL8UONKn
Fresh,Artist Vs Poet,spotify:track:3joBAxXdN3HFkvvbkxJEwl,3joBAxXdN3HFkvvbkxJEwl
Limbo,Daddy Yankee,spotify:track:3pDhN3qB33AOPhQEkUCaWt,3pDhN3qB33AOPhQEkUCaWt
Down with the Sickness,Disturbed,spotify:track:40rvBMQizxkIqnjPdEWY1v,40rvBMQizxkIqnjPdEWY1v
Lola - 2020 Stereo Remaster,The Kinks,spotify:track:4ZKgPZ9d4V5WW6H2s4qMD3,4ZKgPZ9d4V5WW6H2s4qMD3
Oh No!,MARINA,spotify:track:4sNwdacKyi2S26WrRtNama,4sNwdacKyi2S26WrRtNama
Jerk It Out,Caesars,spotify:track:5XMjXjwCkJVmk0AHm7z8IV,5XMjXjwCkJVmk0AHm7z8IV
She's Kinda Hot,5 Seconds of Summer,spotify:track:5fsQSDifYpjfbCqvZKPVBj,5fsQSDifYpjfbCqvZKPVBj
Song for Winners,Nick Waterhouse,spotify:track:5mqop2IekTZWc2hRE7NpmW,5mqop2IekTZWc2hRE7NpmW
嘘,SID,spotify:track:63G3Lynpoq1Y6kOJguaYFm,63G3Lynpoq1Y6kOJguaYFm
Happy Idiot,TV On The Radio,spotify:track:63mnZ0zF5fBwJzYg2pDo9e,63mnZ0zF5fBwJzYg2pDo9e
Cecilia,Simon & Garfunkel,spotify:track:6QhXQOpyYvbpdbyjgAqKdY,6QhXQOpyYvbpdbyjgAqKdY
She Loves You - Mono / Remastered,The Beatles,spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6,6nEkxYIEnrbYH7h1hJ8Xn6
Cloud 9,Beach Bunny,spotify:track:6vFsBXYczYsP0H3lgunZOm,6vFsBXYczYsP0H3lgunZOm
September,"Earth, Wind & Fire",spotify:track:7Cuk8jsPPoNYQWXK9XRFvG,7Cuk8jsPPoNYQWXK9XRFvG
Nasty Girls,HOLYCHILD,spotify:track:7srfZoDXzLnFgefxuthSJF,7srfZoDXzLnFgefxuthSJF
What You Saw Was A Lie,Kris Bowers,spotify:track:05vlqSfkR400nfnAeXuz34,05vlqSfkR400nfnAeXuz34
Aeolian Lullaby,Salvatore Altavilla,spotify:track:064A3ORnn0PvS6U4puYkfj,064A3ORnn0PvS6U4puYkfj
Limbo,Lissom,spotify:track:0LcJjIdLkioUTfKNhTCjLg,0LcJjIdLkioUTfKNhTCjLg
"Giusto Ciel, in tal periglio (Arie der Anna) - from ""Maometto secondo""",Gioachino Rossini,spotify:track:0Sf4SPowWTO3n4X7zuomNK,0Sf4SPowWTO3n4X7zuomNK
Unbreakable,Andrew Lloyd Webber,spotify:track:0TzejNqW3otWqFYNWBjahJ,0TzejNqW3otWqFYNWBjahJ
The Poet Acts,Philip Glass,spotify:track:0XiMoe7Dh3CcF5sYNWIwYR,0XiMoe7Dh3CcF5sYNWIwYR
Dumbledore's Farewell,Nicholas Hooper,spotify:track:0bmb8jg6ljmt8qBmIsMNvL,0bmb8jg6ljmt8qBmIsMNvL
"Recomposed by Peter Gregson: Bach - Cello Suite No. 5 in C Minor, BWV 1011: 1. Prelude",Peter Gregson,spotify:track:0iB0DqVXGwfAdbS9U31SUn,0iB0DqVXGwfAdbS9U31SUn
Atonement,Ramin Djawadi,spotify:track:0mBEhyPsJfnJzscrm1vxBn,0mBEhyPsJfnJzscrm1vxBn
With Love,Rachel Portman,spotify:track:0siURtUu2AkRV692VUhBkS,0siURtUu2AkRV692VUhBkS
"Bella's Lullaby (From ""Twilight"")",Carter Burwell,spotify:track:0w5ymU3obTE6hVDfMHJDDL,0w5ymU3obTE6hVDfMHJDDL
The Hours - The Hours - Arr. for cello and piano by Bruno Fontaine: The poet acts,Philip Glass,spotify:track:16Sc9OpeYHE9woVfmuMqV1,16Sc9OpeYHE9woVfmuMqV1
"The Slightly Chipped Full Moon (Soundtrack from the Anime ""Black Butler"")",Rolelush,spotify:track:18JH87lYPC2S5qbiOeWTlq,18JH87lYPC2S5qbiOeWTlq
"That Feeling, Though",Fabrizio Paterlini,spotify:track:1FqUDph283khnm6US1ndZ7,1FqUDph283khnm6US1ndZ7
Van Gogh Theme I,Tatiana Lisovskaya,spotify:track:1gsB54xxL6O20z4cGLp7Ho,1gsB54xxL6O20z4cGLp7Ho
Not Today,Ramin Djawadi,spotify:track:1liDIUrQ6W9LLb4RYZ8wyQ,1liDIUrQ6W9LLb4RYZ8wyQ
"Giulio Cesare in Egitto, HWV 17, Act II, Scene 8: Se pietà di me non senti",George Frideric Handel,spotify:track:1liaKYQKIsy53U8ejRSorc,1liaKYQKIsy53U8ejRSorc
"Nisi Dominus, RV 608: IV. Cum dederit",Antonio Vivaldi,spotify:track:1okQeekaBL7DzFxS0j1s7l,1okQeekaBL7DzFxS0j1s7l
Solitude,Joep Beving,spotify:track:21UkknmSYISvDaQbaMIOgq,21UkknmSYISvDaQbaMIOgq
"Jenny of Oldstones (From ""Game of Thrones"") - Piano Version",Ian Wong,spotify:track:29MBX68VpeSIYuEGNowlig,29MBX68VpeSIYuEGNowlig
"In furore iustissimae irae, RV.626 - Motet - Critical Edition Paul Everett: 2. Tunc meus fletus",Antonio Vivaldi,spotify:track:2HAcTWe6Oc3nBzyA5I4OWm,2HAcTWe6Oc3nBzyA5I4OWm
"Come, Gentle Night",Abel Korzeniowski,spotify:track:2NU29lmAEB0sd8N8fqyEtz,2NU29lmAEB0sd8N8fqyEtz
Ave Generosa,Hildegard von Bingen,spotify:track:2OOY8Ke2IWRPoXVL2JWAn9,2OOY8Ke2IWRPoXVL2JWAn9
"Recomposed by Peter Gregson: Bach - Cello Suite No. 6 in D Major, BWV 1012: II. Allemande",Peter Gregson,spotify:track:2VUGe3KVbN5d0m2bYwtNcA,2VUGe3KVbN5d0m2bYwtNcA
Opening Titles,Danny Mulhern,spotify:track:2dHD4wKsQGVuKmBMoLJIqb,2dHD4wKsQGVuKmBMoLJIqb
Perfectly Splendid,The Newton Brothers,spotify:track:2fi4FCGkSNtCA771jNOggL,2fi4FCGkSNtCA771jNOggL
Two Swords,Ramin Djawadi,spotify:track:2tTL5i8WbAHjytktA4NTHR,2tTL5i8WbAHjytktA4NTHR
"Si dolce è il tormento - from ""Scherzi Musicali""",Claudio Monteverdi,spotify:track:30Q0OxvbwTCnZDbtU8AK9e,30Q0OxvbwTCnZDbtU8AK9e
If You Should Fall,Craig Armstrong,spotify:track:30kC33jZySfo6gNZWb0jdW,30kC33jZySfo6gNZWb0jdW
Emmanuel,Leo Z,spotify:track:34NqlskcYF9hVL2Nm9sNcw,34NqlskcYF9hVL2Nm9sNcw
Faggot,Sam Vance-Law,spotify:track:3AmTWV9SEnBmifqz8rrUy2,3AmTWV9SEnBmifqz8rrUy2
"Juditha Triumphans, RV 644, Pt. 1: Veni, me sequere fida",Antonio Vivaldi,spotify:track:3CW6ZCoP460LTrmmM7x9Du,3CW6ZCoP460LTrmmM7x9Du
Zelda's Lullaby (The Legend of Zelda: Ocarina of Time),MajorLink,spotify:track:3F2hUjIx7xCi6GIrj63br3,3F2hUjIx7xCi6GIrj63br3
Andrei,Martin Phipps,spotify:track:3FuIwtiMNisauMhKOdmPjO,3FuIwtiMNisauMhKOdmPjO
"Concerto for Cello and Orchestra in A Minor, Op. 129: Nicht zu schnell",Robert Schumann,spotify:track:3Hd7KX7DzwnNFF9ncQ6tjW,3Hd7KX7DzwnNFF9ncQ6tjW
"La plus que lente, L. 121 (Arr. Roques)",Claude Debussy,spotify:track:3RZMjQIfUlfTpcuZqdVPtn,3RZMjQIfUlfTpcuZqdVPtn
